cluster_id,cluster_label,article_id_1,article_id_2,cosine,context_1,context_2
130,français | semaine | france,698b362d42a8083a290c1211,699c5df4bf23573ae1689de7,1.0,Ce bulletin d'actualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leurs criticités. Il ne r […] ualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leurs criticités. Il ne remplace pas l'analyse de l'ensemble des avis et alertes publiés par le CERT-FR d […] t sur les vulnérabilités significatives de ,Ce bulletin d'actualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leurs criticités. Il ne r […] ualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leurs criticités. Il ne remplace pas l'analyse de l'ensemble des avis et alertes publiés par le CERT-FR d […] t sur les vulnérabilités significatives de 
88,énergétique | terme | lent,698b4fad42a8083a290c1265,698b8ca042a8083a290c129a,1.0,"Ce dispositif, présenté comme un élément clé de la résilience énergétique à long terme, reste toutefois coûteux et lent à m […] é comme un élément clé de la résilience énergétique à long terme, reste toutefois coûteux et lent à mettre en œuvre chaque site représente un investissement de plusieurs dizaines de millions de dollars. […] résilience énergétique à long terme, reste toutefois coûteux et l","Ce dispositif, présenté comme un élément clé de la résilience énergétique à long terme, reste toutefois coûteux et lent à m […] é comme un élément clé de la résilience énergétique à long terme, reste toutefois coûteux et lent à mettre en œuvre chaque site représente un investissement de plusieurs dizaines de millions de dollars. […] résilience énergétique à long terme, reste toutefois coûteux et l"
25,vulnérabilités | problème | attaquant,698b362042a8083a290c1201,698ddeccff1f259b18d9b985,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
25,vulnérabilités | problème | attaquant,698b362042a8083a290c1201,69971d91bf23573ae1689b80,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
25,vulnérabilités | problème | attaquant,698b362042a8083a290c1201,699db8648680bd2db3d8aff8,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
25,vulnérabilités | problème | attaquant,698ddeccff1f259b18d9b985,69971d91bf23573ae1689b80,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
25,vulnérabilités | problème | attaquant,698ddeccff1f259b18d9b985,699db8648680bd2db3d8aff8,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
25,vulnérabilités | problème | attaquant,69971d91bf23573ae1689b80,699db8648680bd2db3d8aff8,1.0,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécif […] De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur. […] vertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
50,france | crues | mardi,6992b7c67eb36c285af0a9ac,69930c477eb36c285af0a9d9,1.0,"Météo-France a prolongé ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France m […] Météo-France a prolongé ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France maint […] é ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France maintenus en vigilance orange. De nouvel","Météo-France a prolongé ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France m […] Météo-France a prolongé ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France maint […] é ses vigilances crues jusqu’à mardi, avec 14 autres départements du sud et de l’ouest de la France maintenus en vigilance orange. De nouvel"
75,loire | vendée | sèvres,698b601542a8083a290c126e,698c1bda42a8083a290c12ba,1.0,"Il s’agit du Morbihan, de la Loire-Atlantique, du Maine-et-Loire, de la Vendée, des Deux-Sèvres, de la Vienne","Il s’agit du Morbihan, de la Loire-Atlantique, du Maine-et-Loire, de la Vendée, des Deux-Sèvres, de la Vienne"
141,médaille | plusieurs | ans,69957b2e8f46894cda325234,6995bfc3bf23573ae1689ab0,1.0,"La délégation tricolore aura plusieurs chances de décrocher une médaille mercredi. D’abord en ski de fond par équipes, puis en s […] La délégation tricolore aura plusieurs chances de décrocher une médaille mercredi. D’abord en ski de fond par équipes, puis en snowboard slopestyle, avec Romai […] mercredi. D’abord en ski de fond par équipes, puis en snowboard slopestyle, avec Romain Allemand en fin","La délégation tricolore aura plusieurs chances de décrocher une médaille mercredi. D’abord en ski de fond par équipes, puis en s […] La délégation tricolore aura plusieurs chances de décrocher une médaille mercredi. D’abord en ski de fond par équipes, puis en snowboard slopestyle, avec Romai […] mercredi. D’abord en ski de fond par équipes, puis en snowboard slopestyle, avec Romain Allemand en fin"
